Date,TotalNet_proj
2041-02-01,300.44722036841165
2041-03-01,310.7508411990885
2041-04-01,285.21577989331774
2041-05-01,318.91285795040494
2041-06-01,344.16541184047173
2041-07-01,398.4420000669353
2041-08-01,397.08436237928146
2041-09-01,344.734761809202
2041-10-01,309.2953805531269
2041-11-01,306.1920186385433
2041-12-01,327.2521031780517
2042-01-01,348.0205006307733
2042-02-01,300.5018120703528
2042-03-01,310.80543290102986
2042-04-01,285.27037159525946
2042-05-01,318.9674496523469
2042-06-01,344.2200035424141
2042-07-01,398.49659176887684
2042-08-01,397.13895408122283
2042-09-01,344.7893535111435
2042-10-01,309.3499722550686
2042-11-01,306.246610340485
2042-12-01,327.3066948799931
2043-01-01,348.07509233271463
2043-02-01,300.5564037722944
2043-03-01,310.86002460297146
2043-04-01,285.324963297201
2043-05-01,319.0220413542884
2043-06-01,344.27459524435545
2043-07-01,398.5511834708185
2043-08-01,397.19354578316455
2043-09-01,344.84394521308514
2043-10-01,309.4045639570102
2043-11-01,306.30120204242655
2043-12-01,327.36128658193473
2044-01-01,348.1296840346563
2044-02-01,300.610995474236
2044-03-01,310.914616304913
2044-04-01,285.37955499914256
2044-05-01,319.0766330562299
2044-06-01,344.329186946297
2044-07-01,398.60577517275993
2044-08-01,397.248137485106
2044-09-01,344.8985369150266
2044-10-01,309.4591556589517
2044-11-01,306.35579374436804
2044-12-01,327.4158782838762
2045-01-01,348.18427573659784
2045-02-01,300.66558717617755
2045-03-01,310.9692080068546
2045-04-01,285.4341467010842
2045-05-01,319.1312247581716
2045-06-01,344.3837786482387
2045-07-01,398.66036687470165
2045-08-01,397.3027291870477
2045-09-01,344.95312861696834
2045-10-01,309.5137473608935
2045-11-01,306.4103854463098
2045-12-01,327.47046998581794
2046-01-01,348.23886743853956
2046-02-01,300.72017887811927
2046-03-01,311.02379970879633
2046-04-01,285.4887384030259
2046-05-01,319.18581646011324
2046-06-01,344.4383703501803
2046-07-01,398.71495857664326
2046-08-01,397.3573208889893
2046-09-01,345.00772031890995
2046-10-01,309.5683390628351
2046-11-01,306.4649771482514
2046-12-01,327.52506168775955
2047-01-01,348.29345914048116
2047-02-01,300.7747705800609
2047-03-01,311.07839141073794
2047-04-01,285.5433301049675
2047-05-01,319.24040816205485
2047-06-01,344.4929620521219
2047-07-01,398.76955027858486
2047-08-01,397.4119125909309
2047-09-01,345.06231202085155
2047-10-01,309.6229307647767
2047-11-01,306.519568850193
2047-12-01,327.57965338970115
2048-01-01,348.34805084242277
2048-02-01,300.8293622820025
2048-03-01,311.13298311267954
2048-04-01,285.5979218069091
2048-05-01,319.29499986399645
2048-06-01,344.54755375406353
2048-07-01,398.82414198052646
2048-08-01,397.4665042928725
2048-09-01,345.11690372279315
2048-10-01,309.6775224667183
2048-11-01,306.57416055213463
2048-12-01,327.63424509164275
2049-01-01,348.40264254436437
2049-02-01,300.8839539839441
2049-03-01,311.18757481462114
2049-04-01,285.6525135088507
2049-05-01,319.34959156593806
2049-06-01,344.60214545600513
2049-07-01,398.87873368246807
2049-08-01,397.5210959948141
2049-09-01,345.17149542473476
2049-10-01,309.7321141686599
2049-11-01,306.62875225407623
