,Date,TotalRew_proj,NG_proj,Coal_proj,TotalNet_proj,Solar_proj,Wind_proj,monthcnt
49,2023-12-01,68.84447008643917,146.57084041751753,33.02919414489749,326.27252389522596,7.591427459066021,34.98915346186205,49
50,2024-01-01,71.43508187868039,153.80905303927153,39.278984723516224,347.0416425476059,7.976998545461452,35.909778540310825,50
51,2024-02-01,67.24816521932102,144.538900080557,14.622899532460648,299.5170943559256,8.340037617736868,33.60461989284045,51
52,2024-03-01,74.83272739677112,148.74314677043208,13.148463916143918,309.822191823448,10.223164952617331,36.64792237130019,52
53,2024-04-01,78.74255122674866,140.74678774899897,0.0,284.2893432686895,11.17870072573667,39.488371466079975,53
54,2024-05-01,80.23051221740633,154.5222354456675,9.35223871022932,317.98767606544664,11.623043715430875,35.91044678695382,54
55,2024-06-01,75.62333130682975,173.38646131377476,18.199231941830142,343.2425457510265,12.499101444176882,33.93775514376571,55
56,2024-07-01,69.16334677956608,209.62946714907062,38.590232826069155,397.51434665218363,12.357391812350695,30.888331321514663,56
57,2024-08-01,66.15902320513047,207.52542925479625,42.48799870107531,396.1556223114152,11.88921578801315,30.967534673234162,57
58,2024-09-01,64.14030450431015,181.98428107947083,24.95521611826382,343.806723209219,11.379932291588128,30.27657220550332,58
59,2024-10-01,66.37894116996371,165.77368813426816,7.492437122232992,308.36879345786645,10.272762350977407,33.46284299134714,59
60,2024-11-01,68.39272279024306,150.17518144937333,13.57133462255903,305.2652787098207,9.028177412215367,35.269589844786594,60
61,2024-12-01,71.38271179603434,155.17985244222157,20.577776764211205,326.3232402847007,8.446945233222127,36.92874055227906,61
62,2025-01-01,73.96639819548696,162.62281352057076,26.820269174154202,347.0914489554456,8.832640711131777,37.841665176017095,62
63,2025-02-01,69.774942934824,153.44472370468142,2.177363858129257,299.5742942182312,9.195510989311373,35.53900744713678,63
64,2025-03-01,77.36724442466243,157.5348653954261,0.7026875722559515,309.8775285229035,11.07896667407814,38.58156009119593,64
65,2025-04-01,81.28379475943498,149.4769696673464,0.0,284.34188800511436,12.034456387468914,41.43966302669838,65
66,2025-05-01,82.77315536846803,163.1849559141563,0.0,318.03863762023377,12.47863174068688,37.85961840646357,66
