Date,Solar_proj
2030-10-01,15.407447936660276
2030-11-01,14.162862818762578
2030-12-01,13.581691464186333
2031-01-01,13.967360951147693
2031-02-01,14.330266497962674
2031-03-01,16.213653575756375
2031-04-01,17.16915291308456
2031-05-01,17.613363293058818
2031-06-01,18.48946994116494
2031-07-01,18.34799815008137
2031-08-01,17.879646618980168
2031-09-01,17.370360168733036
2031-10-01,16.263229776850928
2031-11-01,15.018644658876097
2031-12-01,14.437473330489349
2032-01-01,14.823142806259646
2032-02-01,15.186048368260431
2032-03-01,17.06943541651366
2032-04-01,18.024934757985672
2032-05-01,18.46914515304159
2032-06-01,19.34525179558413
2032-07-01,19.203779977451013
2032-08-01,18.735428466310136
2032-09-01,18.226142016398942
2032-10-01,17.11901162001897
2032-11-01,15.874426502064521
2032-12-01,15.293255166757254
2033-01-01,15.678924645484766
2033-02-01,16.041830203472735
2033-03-01,17.925217259531973
2033-04-01,18.880716599908986
2033-05-01,19.32492699097961
2033-06-01,20.201033634992314
2033-07-01,20.059561824006984
2033-08-01,19.591210307591634
2033-09-01,19.08192385759167
2033-10-01,17.974793462400246
2033-11-01,16.730208344440413
2033-12-01,16.149037010961877
2034-01-01,16.53470648890795
2034-02-01,16.897612047956297
2034-03-01,18.780999101952816
2034-04-01,19.73649844261918
2034-05-01,20.18070883474291
2034-06-01,21.056815478367124
2034-07-01,20.91534366549301
2034-08-01,20.446992150471427
2034-09-01,19.93770570049492
2034-10-01,18.830575304989427
2034-11-01,17.58599018703102
2034-12-01,17.004818853069242
2035-01-01,17.39048833122181
2035-02-01,17.753393889989955
2035-03-01,19.636780944531537
2035-04-01,20.59228028512144
